occ,recs
teaching assistant                 ,1552
medical tech                       ,1547
school administrator               ,1545
nurse aide                         ,1542
ups driver                         ,1535
care taker                         ,1526
not employed                       ,1517
consulting                         ,1514
research associate                 ,1513
teacher aid                        ,1508
laboror                            ,1494
diesel mechanic                    ,1492
scheduler                          ,1483
hvac tech                          ,1480
budget analyst                     ,1476
database administrator             ,1476
med tech                           ,1473
esthetician                        ,1470
food service worker                ,1466
interpreter                        ,1461
usmc                               ,1460
steel worker                       ,1452
research assistant                 ,1449
custodial                          ,1447
builder                            ,1447
operations                         ,1447
design engineer                    ,1443
roofing                            ,1438
usn                                ,1433
cleaning service                   ,1431
officer                            ,1430
department manager                 ,1428
crossing guard                     ,1426
customer service manager           ,1420
medical receptionist               ,1414
broker                             ,1413
general laborer                    ,1409
music teacher                      ,1409
dental hygenist                    ,1407
sales assistant                    ,1405
specialist                         ,1401
it director                        ,1396
payroll clerk                      ,1396
social services                    ,1391
shift manager                      ,1383
financial services                 ,1379
property management                ,1376
postal carrier                     ,1373
medical coder                      ,1372
caterer                            ,1368
production supervisor              ,1362
mail clerk                         ,1360
maint                              ,1357
maintence                          ,1354
restaurant worker                  ,1352
para professional                  ,1349
field engineer                     ,1342
drafter                            ,1339
electrican                         ,1337
umemployed                         ,1333
airline pilot                      ,1327
lawn service                       ,1325
us air force                       ,1323
utility worker                     ,1321
dietitian                          ,1317
admin. assistant                   ,1315
director of operations             ,1310
file clerk                         ,1309
paraeducator                       ,1303
mail handler                       ,1302
college student                    ,1299
project mgr                        ,1298
deputy                             ,1291
research                           ,1290
xray tech                          ,1289
personal assistant                 ,1278
it analyst                         ,1272
detailer                           ,1271
chemical engineer                  ,1270
housemaker                         ,1269
credit analyst                     ,1266
stock                              ,1265
mover                              ,1264
school psychologist                ,1261
electronics technician             ,1260
quality manager                    ,1254
land surveyor                      ,1253
mill worker                        ,1252
court reporter                     ,1249
school                             ,1249
court clerk                        ,1248
para educator                      ,1244
asst mgr                           ,1243
manger                             ,1243
inventory control                  ,1235
crew member                        ,1235
prep cook                          ,1235
credit manager                     ,1234
cust service                       ,1232
